,price_USD,covered_surface_m2,bedrooms,price/m2,bathrooms,latitude,longitude,type_casa,type_departamento,type_ph
59,85000.0,44.0,1.0,2136.5548604191617,1.0,-34.54648,-58.554108,0,1,0
60,125000.0,90.0,2.0,2136.5548604191617,2.0,-34.543,-58.553623,0,1,0
61,80000.0,53.0,2.0,2136.5548604191617,1.0,-34.545208,-58.554325,0,1,0
62,150000.0,65.0,2.0,2136.5548604191617,1.0,-34.546192,-58.550297,0,1,0
63,85000.0,40.0,1.0,2136.5548604191617,1.0,-34.54993,-58.555725,0,1,0
64,230000.0,106.0,3.0,2136.5548604191617,2.0,-34.549435,-58.55595,0,1,0
65,260000.0,113.0,3.0,2136.5548604191617,2.0,-34.54806,-58.555824,0,1,0
66,125000.0,55.0,1.0,2136.5548604191617,2.0,-34.547466,-58.555145,0,1,0
67,235000.0,101.0,2.0,2136.5548604191617,2.0,-34.547924,-58.55591,0,1,0
68,140000.0,59.0,2.0,2136.5548604191617,1.0,-34.54768,-58.553123,0,1,0
69,360000.0,224.0,4.0,2136.5548604191617,2.0,-34.544724,-58.55836,1,0,0
70,120000.0,43.0,1.0,2136.5548604191617,1.0,-34.54664,-58.558,0,1,0
71,145000.0,67.0,2.0,2136.5548604191617,1.0,-34.545914,-58.554523,0,1,0
72,230000.0,115.0,3.0,2136.5548604191617,3.0,-34.543156,-58.553234,1,0,0
73,75000.0,28.0,0.0,2136.5548604191617,1.0,-34.548855,-58.554848,0,1,0
74,150000.0,60.0,2.0,2136.5548604191617,1.0,-34.548244,-58.555122,0,1,0
75,290000.0,124.0,3.0,2136.5548604191617,2.0,-34.549927,-58.555668,0,1,0
76,360000.0,132.0,3.0,2136.5548604191617,2.0,-34.544395,-58.55357,0,1,0
77,399000.0,220.0,4.0,2136.5548604191617,5.0,-34.548515,-58.55378,0,1,0
78,160000.0,75.0,2.0,2136.5548604191617,1.0,-34.547398,-58.553314,0,1,0
79,395000.0,450.0,6.0,2136.5548604191617,6.0,-34.547184,-58.557327,1,0,0
80,130000.0,60.0,2.0,2136.5548604191617,1.0,-34.545784,-58.559395,0,0,1
81,120000.0,77.0,2.0,2136.5548604191617,1.0,-34.54691,-58.55909,0,0,1
82,90000.0,52.0,2.0,2136.5548604191617,1.0,-34.54531,-58.55599,0,1,0
83,179000.0,68.0,2.0,2136.5548604191617,1.0,-34.548714,-58.55658,0,1,0
84,160000.0,90.0,2.0,2136.5548604191617,1.0,-34.54898,-58.55653,0,1,0
85,126000.0,52.0,1.0,2136.5548604191617,1.0,-34.54577,-58.5535,0,1,0
86,85000.0,42.0,1.0,2136.5548604191617,1.0,-34.54741,-58.55334,0,1,0
87,85000.0,32.0,1.0,2136.5548604191617,1.0,-34.547016,-58.55629,0,1,0
88,87000.0,31.0,1.0,2136.5548604191617,1.0,-34.54572,-58.554474,0,1,0
89,245000.0,103.0,3.0,2136.5548604191617,1.0,-34.54764,-58.55485,0,1,0
90,87000.0,41.0,1.0,2136.5548604191617,1.0,-34.548546,-58.55709,0,1,0
91,92000.0,57.0,1.0,2136.5548604191617,1.0,-34.548546,-58.55709,0,1,0
92,92000.0,48.0,1.0,2136.5548604191617,1.0,-34.548546,-58.55709,0,1,0
93,300000.0,105.0,3.0,2136.5548604191617,1.0,-34.54855,-58.55388,0,1,0
