,price_USD,type,covered_surface_m2,bedrooms,price/m2,bathrooms,latitude,longitude
64,230000.0,departamento,106.0,3.0,2217.485589082153,2.0,-34.549435,-58.55595
65,260000.0,departamento,113.0,3.0,2217.485589082153,2.0,-34.54806,-58.555824
66,125000.0,departamento,55.0,1.0,2217.485589082153,2.0,-34.547466,-58.555145
67,235000.0,departamento,101.0,2.0,2217.485589082153,2.0,-34.547924,-58.55591
68,140000.0,departamento,59.0,2.0,2217.485589082153,1.0,-34.54768,-58.553123
69,360000.0,casa,224.0,4.0,2217.485589082153,2.0,-34.544724,-58.55836
70,120000.0,departamento,43.0,1.0,2217.485589082153,1.0,-34.54664,-58.558
71,145000.0,departamento,67.0,2.0,2217.485589082153,1.0,-34.545914,-58.554523
72,230000.0,casa,115.0,3.0,2217.485589082153,3.0,-34.543156,-58.553234
73,75000.0,departamento,28.0,0.0,2217.485589082153,1.0,-34.548855,-58.554848
74,150000.0,departamento,60.0,2.0,2217.485589082153,1.0,-34.548244,-58.555122
75,290000.0,departamento,124.0,3.0,2217.485589082153,2.0,-34.549927,-58.555668
76,360000.0,departamento,132.0,3.0,2217.485589082153,2.0,-34.544395,-58.55357
77,399000.0,departamento,220.0,4.0,2217.485589082153,5.0,-34.548515,-58.55378
78,160000.0,departamento,75.0,2.0,2217.485589082153,1.0,-34.547398,-58.553314
79,395000.0,casa,450.0,6.0,2217.485589082153,6.0,-34.547184,-58.557327
80,130000.0,ph,60.0,2.0,2217.485589082153,1.0,-34.545784,-58.559395
81,120000.0,ph,77.0,2.0,2217.485589082153,1.0,-34.54691,-58.55909
82,90000.0,departamento,52.0,2.0,2217.485589082153,1.0,-34.54531,-58.55599
83,179000.0,departamento,68.0,2.0,2217.485589082153,1.0,-34.548714,-58.55658
84,160000.0,departamento,90.0,2.0,2217.485589082153,1.0,-34.54898,-58.55653
85,126000.0,departamento,52.0,1.0,2217.485589082153,1.0,-34.54577,-58.5535
86,85000.0,departamento,42.0,1.0,2217.485589082153,1.0,-34.54741,-58.55334
87,85000.0,departamento,32.0,1.0,2217.485589082153,1.0,-34.547016,-58.55629
88,87000.0,departamento,31.0,1.0,2217.485589082153,1.0,-34.54572,-58.554474
89,245000.0,departamento,103.0,3.0,2217.485589082153,1.0,-34.54764,-58.55485
90,87000.0,departamento,41.0,1.0,2217.485589082153,1.0,-34.548546,-58.55709
91,92000.0,departamento,57.0,1.0,2217.485589082153,1.0,-34.548546,-58.55709
92,92000.0,departamento,48.0,1.0,2217.485589082153,1.0,-34.548546,-58.55709
93,300000.0,departamento,105.0,3.0,2217.485589082153,1.0,-34.54855,-58.55388
94,250000.0,departamento,70.0,2.0,2217.485589082153,2.0,-34.54817,-58.55783
95,87000.0,departamento,41.0,1.0,2217.485589082153,1.0,-34.548546,-58.55709
96,160000.0,casa,92.0,3.0,2217.485589082153,1.0,-34.548412,-58.558342
97,130000.0,ph,106.0,2.0,2217.485589082153,2.0,-34.54899,-58.55502
98,125000.0,departamento,56.0,2.0,2217.485589082153,1.0,-34.546497,-58.552734
99,160000.0,departamento,72.0,3.0,2217.485589082153,1.0,-34.54895,-58.55651
100,360000.0,departamento,140.0,4.0,2217.485589082153,3.0,-34.5444,-58.55357
101,158000.0,ph,82.0,2.0,2217.485589082153,1.0,-34.54569,-58.5555
102,480000.0,casa,400.0,5.0,2217.485589082153,4.0,-34.54621,-58.550926
103,160000.0,ph,78.0,2.0,2217.485589082153,1.0,-34.54538,-58.55424
104,170000.0,departamento,53.0,1.0,2217.485589082153,1.0,-34.54974,-58.55595
105,72000.0,departamento,45.0,1.0,2217.485589082153,1.0,-34.54898,-58.55363
106,90000.0,departamento,53.0,1.0,2217.485589082153,1.0,-34.54787,-58.55605
107,220000.0,casa,84.0,2.0,2217.485589082153,1.0,-34.5438,-58.55463
108,105000.0,departamento,48.0,1.0,2217.485589082153,1.0,-34.546497,-58.552734
109,153000.0,departamento,68.0,2.0,2217.485589082153,2.0,-34.54574,-58.554646
110,58000.0,departamento,29.0,1.0,2217.485589082153,1.0,-34.549572,-58.55457
111,149000.0,departamento,58.0,2.0,2217.485589082153,1.0,-34.548054,-58.55434
112,95000.0,departamento,50.0,1.0,2217.485589082153,1.0,-34.545708,-58.5537
113,85000.0,departamento,40.0,1.0,2217.485589082153,1.0,-34.54927,-58.55463
114,180000.0,departamento,65.0,2.0,2217.485589082153,2.0,-34.545605,-58.553524
115,68000.0,departamento,48.0,1.0,2217.485589082153,1.0,-34.547825,-58.556293
116,68000.0,ph,48.0,1.0,2217.485589082153,1.0,-34.54785,-58.556293
117,185000.0,departamento,61.0,2.0,2217.485589082153,2.0,-34.545567,-58.55362
118,125000.0,departamento,50.0,1.0,2217.485589082153,1.0,-34.54787,-58.55605
119,399000.0,departamento,221.0,4.0,2217.485589082153,5.0,-34.54855,-58.55388
120,130000.0,departamento,63.0,2.0,2217.485589082153,1.0,-34.548054,-58.55434
121,87000.0,departamento,45.0,1.0,2217.485589082153,1.0,-34.545666,-58.554268
122,300000.0,departamento,10.0,4.0,2217.485589082153,3.0,-34.54855,-58.556965
123,245000.0,departamento,103.0,3.0,2217.485589082153,1.0,-34.54764,-58.55485
124,162000.0,departamento,70.0,2.0,2217.485589082153,2.0,-34.547615,-58.558475
125,85000.0,departamento,32.0,0.0,2217.485589082153,1.0,-34.547745,-58.557053
126,217000.0,departamento,100.0,2.0,2217.485589082153,1.0,-34.54994,-58.55472
127,115000.0,departamento,50.0,2.0,2217.485589082153,1.0,-34.546597,-58.553253
128,78000.0,departamento,50.0,1.0,2217.485589082153,1.0,-34.54803,-58.55637
129,107000.0,departamento,42.0,1.0,2217.485589082153,1.0,-34.54732,-58.55276
130,198000.0,casa,235.0,3.0,2217.485589082153,1.0,-34.54787,-58.55932
131,198000.0,casa,199.0,3.0,2217.485589082153,2.0,-34.547867,-58.55946
132,130000.0,departamento,60.0,2.0,2217.485589082153,1.0,-34.546307,-58.552567
133,220000.0,casa,84.0,2.0,2217.485589082153,1.0,-34.543476,-58.55424
134,130000.0,departamento,60.0,2.0,2217.485589082153,1.0,-34.546307,-58.552567
135,90000.0,departamento,40.0,1.0,2217.485589082153,1.0,-34.548546,-58.55709
136,125000.0,departamento,63.0,2.0,2217.485589082153,1.0,-34.549274,-58.554607
137,80000.0,departamento,42.0,1.0,2217.485589082153,1.0,-34.548927,-58.554756
138,95000.0,departamento,41.0,1.0,2217.485589082153,1.0,-34.547447,-58.553864
139,85000.0,departamento,45.0,1.0,2217.485589082153,1.0,-34.54869,-58.556904
140,82000.0,departamento,47.0,1.0,2217.485589082153,1.0,-34.548283,-58.554066
141,95000.0,departamento,57.0,1.0,2217.485589082153,1.0,-34.548546,-58.55709
142,90000.0,departamento,40.0,1.0,2217.485589082153,1.0,-34.548546,-58.55709
143,160000.0,departamento,90.0,2.0,2217.485589082153,2.0,-34.54903,-58.55642
144,65000.0,ph,50.0,2.0,2217.485589082153,1.0,-34.54785,-58.556076
145,115000.0,departamento,55.0,1.0,2217.485589082153,1.0,-34.54759,-58.55432
146,89500.0,departamento,46.0,1.0,2217.485589082153,1.0,-34.547894,-58.556026
147,125000.0,departamento,63.0,2.0,2217.485589082153,1.0,-34.547108,-58.55521
148,159000.0,departamento,64.0,2.0,2217.485589082153,1.0,-34.54747,-58.55644
149,170000.0,departamento,63.0,2.0,2217.485589082153,1.0,-34.546986,-58.551914
150,85000.0,departamento,55.0,1.0,2217.485589082153,1.0,-34.547077,-58.556236
151,135000.0,casa,80.0,1.0,2217.485589082153,1.0,-34.55049,-58.55514
152,110000.0,departamento,47.0,1.0,2217.485589082153,1.0,-34.54806,-58.55719
153,290000.0,departamento,113.0,3.0,2217.485589082153,2.0,-34.54986,-58.55562
154,110000.0,departamento,42.0,1.0,2217.485589082153,1.0,-34.54641,-58.55545
155,118000.0,departamento,45.0,1.0,2217.485589082153,1.0,-34.54851,-58.557083
156,220000.0,departamento,98.0,3.0,2217.485589082153,2.0,-34.54719,-58.55153
157,75000.0,departamento,45.0,1.0,2217.485589082153,1.0,-34.548183,-58.5543
158,95000.0,departamento,45.0,1.0,2217.485589082153,1.0,-34.54824,-58.554276
159,89000.0,departamento,65.0,1.0,2217.485589082153,1.0,-34.549755,-58.555843
160,125000.0,departamento,48.0,1.0,2217.485589082153,1.0,-34.54714,-58.55258
161,109000.0,departamento,46.0,1.0,2217.485589082153,1.0,-34.546917,-58.553772
162,145000.0,departamento,63.0,2.0,2217.485589082153,1.0,-34.54819,-58.555027
163,72000.0,departamento,36.0,1.0,2217.485589082153,1.0,-34.54927,-58.554634
164,165000.0,departamento,81.0,3.0,2217.485589082153,1.0,-34.548183,-58.5543
165,147000.0,departamento,58.0,2.0,2217.485589082153,1.0,-34.54778,-58.55685
166,98000.0,departamento,35.0,1.0,2217.485589082153,1.0,-34.547447,-58.55329
167,399000.0,departamento,221.0,4.0,2217.485589082153,2.0,-34.548553,-58.55388
168,110000.0,departamento,42.0,1.0,2217.485589082153,1.0,-34.546173,-58.55543
169,165000.0,departamento,56.0,2.0,2217.485589082153,2.0,-34.547848,-58.55694
170,50000.0,departamento,22.0,0.0,2217.485589082153,1.0,-34.542725,-58.555553
171,250000.0,casa,203.0,2.0,2217.485589082153,2.0,-34.54575,-58.555424
172,220000.0,departamento,85.0,2.0,2217.485589082153,2.0,-34.546482,-58.557983
173,85000.0,departamento,40.0,1.0,2217.485589082153,1.0,-34.54562,-58.55462
174,83000.0,departamento,45.0,1.0,2217.485589082153,1.0,-34.547787,-58.556084
175,55000.0,departamento,30.0,0.0,2217.485589082153,1.0,-34.548756,-58.5549
176,270000.0,casa,160.0,2.0,2217.485589082153,1.0,-34.5475,-58.55643
177,125000.0,departamento,50.0,1.0,2217.485589082153,1.0,-34.54806,-58.55715
178,125000.0,departamento,55.0,2.0,2217.485589082153,1.0,-34.546642,-58.553375
179,120000.0,departamento,55.0,1.0,2217.485589082153,1.0,-34.54864,-58.556835
180,549000.0,casa,220.0,3.0,2217.485589082153,3.0,-34.54649,-58.56062
181,230000.0,casa,140.0,3.0,2217.485589082153,3.0,-34.543156,-58.553234
182,139000.0,departamento,62.0,2.0,2217.485589082153,2.0,-34.547554,-58.5543
183,140000.0,departamento,96.0,3.0,2217.485589082153,2.0,-34.54767,-58.55842
184,73000.0,departamento,45.0,1.0,2217.485589082153,1.0,-34.547787,-58.55613
185,198000.0,casa,102.0,3.0,2217.485589082153,2.0,-34.54867,-58.55724
186,93500.0,departamento,55.0,1.0,1888.9741893737053,1.0,-34.54974,-58.55043
187,130000.0,departamento,52.0,1.0,1888.9741893737053,2.0,-34.54933,-58.55105
188,279000.0,departamento,79.0,2.0,1888.9741893737053,2.0,-34.552494,-58.552616
189,240000.0,casa,260.0,6.0,1888.9741893737053,3.0,-34.55441,-58.55154
190,520000.0,casa,364.0,4.0,1888.9741893737053,4.0,-34.553715,-58.55098
191,135000.0,departamento,78.0,2.0,1888.9741893737053,1.0,-34.550407,-58.551197
192,220000.0,casa,102.0,3.0,1888.9741893737053,2.0,-34.5483,-58.547703
193,85000.0,departamento,48.0,1.0,1888.9741893737053,1.0,-34.550175,-58.55177
194,82000.0,departamento,53.0,1.0,1888.9741893737053,1.0,-34.54877,-58.55172
195,62500.0,departamento,46.0,1.0,1888.9741893737053,1.0,-34.551304,-58.55175
196,148000.0,departamento,67.0,2.0,1888.9741893737053,2.0,-34.552467,-58.55259
197,130000.0,departamento,50.0,1.0,1888.9741893737053,1.0,-34.55246,-58.552597
198,365000.0,departamento,118.0,3.0,1888.9741893737053,3.0,-34.549225,-58.552567
199,90000.0,departamento,46.0,1.0,1888.9741893737053,1.0,-34.546432,-58.550167
200,77000.0,ph,57.0,2.0,1888.9741893737053,1.0,-34.553,-58.55157
201,200000.0,casa,60.0,2.0,1888.9741893737053,1.0,-34.55219,-58.548832
202,195000.0,departamento,72.0,2.0,1888.9741893737053,2.0,-34.548016,-58.54888
203,79500.0,departamento,35.0,0.0,1888.9741893737053,1.0,-34.549564,-58.55247
204,88000.0,ph,44.0,1.0,1888.9741893737053,1.0,-34.55058,-58.546017
205,298160.0,departamento,148.0,3.0,1888.9741893737053,2.0,-34.54974,-58.55043
206,350000.0,casa,210.0,4.0,1888.9741893737053,3.0,-34.552803,-58.550465
207,130000.0,departamento,60.0,2.0,1888.9741893737053,1.0,-34.55141,-58.551174
208,88000.0,departamento,50.0,1.0,1888.9741893737053,1.0,-34.548912,-58.551838
209,130000.0,departamento,53.0,2.0,1888.9741893737053,1.0,-34.549744,-58.550137
210,160000.0,departamento,100.0,3.0,1888.9741893737053,2.0,-34.55002,-58.55219
211,350000.0,casa,230.0,3.0,1888.9741893737053,2.0,-34.552948,-58.548477
212,170000.0,departamento,77.0,2.0,1888.9741893737053,1.0,-34.550182,-58.551777
213,149000.0,departamento,71.0,2.0,1888.9741893737053,2.0,-34.55031,-58.55132
214,148000.0,departamento,60.0,2.0,1888.9741893737053,1.0,-34.54627,-58.549973
215,87000.0,departamento,45.0,1.0,1888.9741893737053,1.0,-34.55046,-58.55148
216,65000.0,departamento,30.0,0.0,1888.9741893737053,1.0,-34.549618,-58.550156
217,175000.0,casa,225.0,2.0,1888.9741893737053,2.0,-34.551838,-58.54592
218,165000.0,ph,150.0,4.0,1888.9741893737053,1.0,-34.551083,-58.545918
219,205000.0,casa,235.0,5.0,1888.9741893737053,2.0,-34.551487,-58.546844
220,160000.0,casa,97.0,2.0,1888.9741893737053,2.0,-34.55044,-58.549446
221,70000.0,departamento,35.0,1.0,1888.9741893737053,1.0,-34.55015,-58.551865
222,69000.0,ph,37.0,1.0,1888.9741893737053,1.0,-34.550507,-58.549137
223,148000.0,ph,125.0,2.0,1888.9741893737053,1.0,-34.550396,-58.55111
224,210000.0,departamento,87.0,2.0,1888.9741893737053,2.0,-34.54816,-58.548405
225,120000.0,departamento,42.0,1.0,1888.9741893737053,1.0,-34.550575,-58.551357
226,55000.0,departamento,30.0,1.0,1888.9741893737053,1.0,-34.551346,-58.54806
227,82000.0,ph,60.0,2.0,1888.9741893737053,1.0,-34.549736,-58.548656
228,125000.0,departamento,65.0,2.0,1888.9741893737053,2.0,-34.551006,-58.552128
229,130000.0,departamento,52.0,1.0,1888.9741893737053,2.0,-34.54933,-58.55105
230,59500.0,departamento,28.0,0.0,1888.9741893737053,1.0,-34.549736,-58.549297
231,85000.0,departamento,34.0,0.0,1888.9741893737053,1.0,-34.54884,-58.55122
