,price_USD,type,covered_surface_m2,bedrooms,bathrooms,latitude,longitude,seller,antiquity
2383,93500.0,departamento,45.0,1.0,1.0,-34.545208,-58.54717,Gladys MENON Servicios Inmobiliarios,5.0
2384,67000.0,departamento,,2.0,1.0,,,PALACIO - Viviendas y Galpones.,
2385,58000.0,departamento,29.0,1.0,1.0,-34.549572,-58.55457,Altamirano Propiedades,40.0
2386,60000.0,departamento,60.0,3.0,1.0,-34.557922,-58.53553,NOA PROPIEDADES,
2387,73000.0,departamento,63.0,2.0,1.0,-34.569702,-58.53703,BERNABE PROPIEDADES,
2388,149000.0,departamento,58.0,2.0,1.0,-34.548054,-58.55434,ALAN FANATICO GESTION INMOBILIARIA SUC.1,
2389,95000.0,departamento,50.0,1.0,1.0,-34.545708,-58.5537,ALAN FANATICO GESTION INMOBILIARIA SUC.1,3.0
2390,75000.0,casa,110.0,2.0,1.0,-34.57961,-58.56356,CARRERA PROPIEDADES,30.0
2391,62000.0,departamento,58.0,1.0,1.0,,,M.F.HERRERA PROPIEDADES,
2392,75000.0,departamento,45.0,1.0,1.0,-34.554314,-58.547523,ALAN FANATICO GESTION INMOBILIARIA SUC.1,30.0
2393,165000.0,casa,180.0,3.0,2.0,-34.54172,-58.57675,Spolita Propiedades,
2394,220000.0,casa,185.0,6.0,3.0,-34.58494,-58.53216,NELIDA DEJTIAR PROPIEDADES,25.0
2395,250000.0,casa,200.0,3.0,2.0,,,NELIDA DEJTIAR PROPIEDADES,25.0
2396,140000.0,departamento,140.0,4.0,2.0,-34.59066,-58.536232,NELIDA DEJTIAR PROPIEDADES,20.0
2397,170000.0,ph,120.0,,3.0,-34.586514,-58.539963,NELIDA DEJTIAR PROPIEDADES,
2398,208000.0,casa,150.0,3.0,2.0,-34.564133,-58.532227,Montenegro Propiedades,25.0
2399,130000.0,departamento,66.0,2.0,1.0,-34.55478,-58.557907,Montenegro Propiedades,40.0
2400,40000.0,departamento,30.0,1.0,1.0,-34.54431,-58.54771,Montenegro Propiedades,60.0
2401,45000.0,departamento,60.0,2.0,1.0,-34.558884,-58.570847,Montenegro Propiedades,35.0
2402,59000.0,departamento,38.0,0.0,1.0,-34.57151,-58.53731,Montenegro Propiedades,0.0
2403,340000.0,casa,330.0,4.0,4.0,-34.57663,-58.532677,Montenegro Propiedades,0.0
2404,120000.0,casa,,3.0,1.0,-34.56556,-58.562443,Montenegro Propiedades,40.0
2405,300000.0,casa,207.0,3.0,3.0,-34.561726,-58.549194,Montenegro Propiedades,40.0
2406,128000.0,casa,60.0,2.0,1.0,-34.564617,-58.54899,Montenegro Propiedades,5.0
2407,85000.0,departamento,48.0,2.0,1.0,-34.559418,-58.558163,Montenegro Propiedades,30.0
2408,120000.0,ph,100.0,3.0,1.0,-34.52948,-58.57432,Spolita Propiedades,
2409,100000.0,casa,150.0,3.0,2.0,-34.53709,-58.5728,Spolita Propiedades,
2410,58000.0,departamento,36.0,1.0,1.0,-34.57115,-58.54227,NOA PROPIEDADES,
2411,85000.0,departamento,40.0,1.0,1.0,-34.57418,-58.54397,NOA PROPIEDADES,
2412,135000.0,casa,127.0,3.0,2.0,,,GENZANO PROPIEDADES,60.0
2413,55000.0,departamento,30.0,0.0,1.0,-34.581463,-58.5366,QUERCIA INMOBILIARIA,40.0
2414,115000.0,casa,75.0,2.0,2.0,-34.53665,-58.55964,Sarro Pucheta Propiedades,0.0
2415,140000.0,casa,140.0,4.0,2.0,-34.55514,-58.533195,CARRERA PROPIEDADES,40.0
2416,95000.0,casa,85.0,2.0,1.0,-34.53048,-58.56229,Spolita Propiedades,
2417,162000.0,ph,135.0,4.0,2.0,-34.549175,-58.552956,Altamirano Propiedades,15.0
2418,72000.0,departamento,37.0,1.0,1.0,-34.567432,-58.544353,Montenegro Propiedades,5.0
2419,135000.0,departamento,75.0,2.0,1.0,-34.56703,-58.5433,Montenegro Propiedades,10.0
2420,58000.0,departamento,40.0,1.0,1.0,-34.581463,-58.5366,NOA PROPIEDADES,
2421,145000.0,ph,104.0,2.0,1.0,-34.54895,-58.543648,ALAN FANATICO GESTION INMOBILIARIA SUC.1,0.0
2422,50000.0,departamento,30.0,0.0,1.0,-34.583523,-58.538177,NOA PROPIEDADES,
2423,119000.0,casa,,,,-34.582222,-58.542496,BERNABE PROPIEDADES,
2424,90000.0,casa,140.0,5.0,4.0,-34.55955,-58.56328,Spolita Propiedades,
2425,118000.0,departamento,65.0,2.0,,-34.56133,-58.541073,CARRERA PROPIEDADES,30.0
2426,95000.0,departamento,83.0,2.0,1.0,,,ALAN FANATICO GESTION INMOBILIARIA,0.0
2427,86000.0,ph,62.0,1.0,1.0,-34.5417,-58.55695,Alonso Inmobiliaria,30.0
2428,48000.0,departamento,42.0,1.0,,,,ALBARENQUE PROPIEDADES,5.0
2429,,casa,,,,-34.53085,-58.568104,ALBARENQUE PROPIEDADES,
2430,65000.0,casa,70.0,2.0,,-34.55881,-58.539116,CARRERA PROPIEDADES,5.0
2431,85000.0,ph,74.0,2.0,1.0,-34.53505,-58.54988,BOTTONI PROPIEDADES,40.0
2432,90000.0,ph,70.0,3.0,1.0,-34.585716,-58.546463,ALAN FANATICO GESTION INMOBILIARIA SUC.1,30.0
2433,98000.0,ph,85.0,2.0,1.0,,,ALAN FANATICO GESTION INMOBILIARIA SUC.1,45.0
2434,67000.0,departamento,50.0,1.0,1.0,-34.57595,-58.53727,Barrionuevo Propiedades,
2435,110000.0,casa,240.0,4.0,2.0,-33.52092,-70.76313,Barrionuevo Propiedades,
2436,320000.0,casa,370.0,3.0,3.0,-34.55832,-58.539696,ALAN FANATICO GESTION INMOBILIARIA,
2437,69000.0,ph,50.0,2.0,1.0,,,Alicia Pinasco inmobiliaria,
2438,140000.0,casa,162.0,3.0,2.0,,,ALAN FANATICO GESTION INMOBILIARIA SUC.1,
