,price_USD,type,covered_surface_m2,bedrooms,bathrooms,antiquity,latitude,longitude,seller
3670,117000.0,departamento,64.0,1.0,1.0,8.0,-34.549236,-58.55882,FASANO PROPIEDADES
3671,90000.0,departamento,,2.0,1.0,,,,FASSIO ESTUDIO INTEGRAL INMOBILIARIO
3672,130000.0,departamento,50.0,1.0,1.0,6.0,-34.550777,-58.55105,Altamirano Propiedades
3673,90000.0,departamento,66.0,1.0,1.0,16.0,-34.552334,-58.556133,FASANO PROPIEDADES
3674,89000.0,departamento,65.0,1.0,1.0,40.0,-34.549755,-58.555843,FASANO PROPIEDADES
3675,400000.0,ph,350.0,2.0,2.0,16.0,-34.551723,-58.574364,ABDUCH PROPIEDADES
3676,110000.0,departamento,37.0,1.0,1.0,0.0,-34.545246,-58.547108,ABDUCH PROPIEDADES
3677,75000.0,casa,85.0,2.0,1.0,40.0,-34.576828,-58.569782,Alejandro Ale Desarrollos Inmobiliarios
3678,169000.0,ph,86.0,2.0,2.0,0.0,-34.54725,-58.565014,FASANO PROPIEDADES
3679,110000.0,ph,120.0,3.0,2.0,20.0,-34.56903,-58.526905,Alejandro Ale Desarrollos Inmobiliarios
3680,320000.0,casa,,4.0,2.0,45.0,-34.540604,-58.556095,Alejandro Ale Desarrollos Inmobiliarios
3681,120000.0,departamento,,2.0,1.0,40.0,-34.579845,-58.53697,Alejandro Ale Desarrollos Inmobiliarios
3682,170000.0,casa,,5.0,3.0,40.0,-34.568333,-58.561253,Alejandro Ale Desarrollos Inmobiliarios
3683,125000.0,departamento,,2.0,1.0,20.0,-34.57775,-58.529697,Alejandro Ale Desarrollos Inmobiliarios
3684,74000.0,departamento,35.0,1.0,1.0,15.0,-34.57844,-58.543,Alejandro Ale Desarrollos Inmobiliarios
3685,299000.0,casa,355.0,6.0,3.0,30.0,-34.591625,-58.543217,Alejandro Ale Desarrollos Inmobiliarios
3686,199900.0,casa,106.0,3.0,3.0,15.0,-34.575085,-58.54728,Alejandro Ale Desarrollos Inmobiliarios
3687,125000.0,departamento,48.0,1.0,1.0,0.0,-34.54714,-58.55258,Alejandro Ale Desarrollos Inmobiliarios
3688,180000.0,departamento,118.0,3.0,2.0,40.0,-34.57522,-58.534763,Alejandro Ale Desarrollos Inmobiliarios
3689,98000.0,ph,66.0,2.0,1.0,45.0,-34.582214,-58.536453,Alejandro Ale Desarrollos Inmobiliarios
3690,189000.0,departamento,,2.0,1.0,10.0,-34.552887,-58.561726,Alejandro Ale Desarrollos Inmobiliarios
3691,61000.0,departamento,30.0,0.0,1.0,8.0,-34.57851,-58.534267,Alejandro Ale Desarrollos Inmobiliarios
3692,140000.0,casa,97.0,3.0,3.0,45.0,-34.561077,-58.59537,Alejandro Ale Desarrollos Inmobiliarios
3693,68000.0,departamento,69.0,3.0,1.0,40.0,-34.554512,-58.53215,Alejandro Ale Desarrollos Inmobiliarios
3694,310000.0,casa,175.0,3.0,2.0,40.0,-34.54584,-58.562157,Alejandro Ale Desarrollos Inmobiliarios
3695,105000.0,departamento,69.0,2.0,1.0,40.0,-34.57828,-58.536896,Alejandro Ale Desarrollos Inmobiliarios
3696,127000.0,departamento,66.0,2.0,1.0,8.0,-34.5742,-58.544033,Alejandro Ale Desarrollos Inmobiliarios
3697,160000.0,ph,111.0,2.0,2.0,50.0,-34.566925,-58.524925,Alejandro Ale Desarrollos Inmobiliarios
3698,135000.0,casa,110.0,2.0,2.0,50.0,-34.56744,-58.52693,Alejandro Ale Desarrollos Inmobiliarios
3699,52000.0,departamento,33.0,1.0,1.0,,-34.576836,-58.54894,Graciela Rodriguez
3700,310000.0,casa,250.0,4.0,3.0,5.0,-34.572803,-58.53991,GARDEN PROPIEDADES
3701,,casa,185.0,3.0,2.0,90.0,-34.56579,-58.53772,GARDEN PROPIEDADES
3702,69000.0,departamento,52.0,1.0,1.0,18.0,,,GARDEN PROPIEDADES
3703,62000.0,departamento,50.0,2.0,1.0,,-34.563023,-58.55258,GARDEN PROPIEDADES
3704,170000.0,casa,107.0,2.0,1.0,,-34.56434,-58.54597,GARDEN PROPIEDADES
3705,,casa,200.0,3.0,2.0,25.0,-34.569977,-58.552032,GARDEN PROPIEDADES
3706,440000.0,casa,388.0,4.0,4.0,25.0,-34.56328,-58.547302,GARDEN PROPIEDADES
3707,152000.0,departamento,67.0,2.0,1.0,,-34.57495,-58.53305,POLVERINI PROPIEDADES
3708,130000.0,casa,113.0,2.0,,20.0,-34.56973,-58.53013,DINAL PROPIEDADES
3709,99000.0,ph,106.0,2.0,1.0,40.0,-34.565422,-58.56457,DINAL PROPIEDADES
3710,350000.0,casa,,3.0,2.0,18.0,-34.539608,-58.548622,DINAL PROPIEDADES
3711,140000.0,departamento,48.0,1.0,1.0,6.0,-34.57371,-58.538925,DINAL PROPIEDADES
3712,160000.0,ph,91.0,2.0,1.0,25.0,-34.55765,-58.53337,DINAL PROPIEDADES
3713,67000.0,departamento,28.0,0.0,1.0,10.0,-34.544964,-58.548756,DINAL PROPIEDADES
3714,70000.0,departamento,45.0,2.0,1.0,10.0,-34.55594,-58.56344,DINAL PROPIEDADES
3715,,ph,40.0,,,,-34.509083,-58.580452,CATANIA PROPIEDADES
3716,39999.0,ph,38.0,2.0,1.0,30.0,-34.56329,-58.52688,Alejandro Ale Desarrollos Inmobiliarios
3717,159000.0,casa,70.0,2.0,1.0,60.0,-34.56057,-58.55508,Alejandro Ale Desarrollos Inmobiliarios
3718,110000.0,casa,85.0,2.0,1.0,0.0,-34.524918,-58.562035,RUIZ PROPIEDADES
3719,400000.0,casa,,4.0,2.0,,,,FASSIO ESTUDIO INTEGRAL INMOBILIARIO
3720,160000.0,casa,,2.0,1.0,0.0,-34.52332,-58.56356,NOVOA PROPIEDADES
3721,130000.0,casa,70.0,2.0,1.0,0.0,-34.523308,-58.563572,NOVOA PROPIEDADES
3722,110000.0,casa,55.0,2.0,1.0,5.0,,,NOVOA PROPIEDADES
3723,75000.0,ph,90.0,,,,-34.557957,-58.563652,INMOBILIARIA PATRICIO TORRE
3724,305000.0,casa,,,,,-34.553886,-58.560158,INMOBILIARIA PATRICIO TORRE
3725,65000.0,ph,75.0,,,40.0,,,INMOBILIARIA PATRICIO TORRE
3726,270000.0,departamento,98.0,,,,-34.550316,-58.549675,INMOBILIARIA PATRICIO TORRE
3727,225000.0,casa,133.0,,,,-34.553085,-58.56111,INMOBILIARIA PATRICIO TORRE
3728,77000.0,casa,150.0,,,,-34.551975,-58.572643,INMOBILIARIA PATRICIO TORRE
